cobacia,cotrecho,trechosjus,curso_dagua,vazao_incremental,vazao_naturalizada,cabeceira
"75849455",203907,282936,"758494",1,0,False
"75849454",276052,282936,"75849454",1,0,True
"75849453",282936,282787,"758494",1,0,False
"75849452",245635,282787,"75849452",1,0,True
"75849451",282787,282934,"758494",1,0,False
"7584944",272820,282934,"7584944",1,0,True
"7584943",282934,282896,"758494",1,0,False
"7584942",280241,282896,"7584942",1,0,True
"75849413",282896,374288,"758494",1,0,False
"75849412",246949,374288,"75849412",1,0,True
"75849411",374288,230797,"758494",1,0,False
"75849393",230797,98825,"7584",1,0,False
"75849392",226744,98825,"75849392",1,0,True
"75849391",98825,143586,"7584",1,0,False
"75849383",291650,44770,"7584938",1,0,True
"75849382",262789,44770,"75849382",1,0,True
"75849381",44770,143586,"7584938",1,0,False
"7584937",143586,143585,"7584",1,0,False
"7584936",375334,143585,"7584936",1,0,True
"75849357",143585,230807,"7584",1,0,False
"75849356",308957,230807,"75849356",1,0,True
"75849355",230807,143589,"7584",1,0,False
"75849354",295480,143589,"75849354",1,0,True
"75849353",143589,230790,"7584",1,0,False
"75849352",188138,230790,"75849352",1,0,True
"75849351",230790,101777,"7584",1,0,False
"7584934",334966,101777,"7584934",1,0,True
"7584933",101777,230806,"7584",1,0,False
"75849323",236935,19355,"7584932",1,0,True
"75849322",314148,19355,"75849322",1,0,True
"75849321",19355,230806,"7584932",1,0,False
"7584931",230806,230664,"7584",1,0,False
"75849162",219556,325306,"75849162",1,0,True
"7584929",297873,297874,"758492",1,0,True
"7584928",337643,297874,"7584928",1,0,True
"75849273",297874,297875,"758492",1,0,False
"75849131",230802,143590,"7584",1,0,False
"7584912",425045,143590,"7584912",1,0,True
"7584911",143590,230809,"7584",1,0,False
"75848995",45270,88581,"75848",1,0,True
"75848994",246851,88581,"75848994",1,0,True
"75848993",88581,44745,"75848",1,0,False
"75848992",232823,44745,"75848992",1,0,True
"75848991",44745,351391,"75848",1,0,False
"75848983",278173,103877,"7584898",1,0,True
"75848982",48551,103877,"75848982",1,0,True
"75848981",103877,351391,"7584898",1,0,False
"75848973",351391,52023,"75848",1,0,False
